customerID,churn_probability,risk_level,model_used
7249-WBIYX,0.8843,High,Logistic Regression
4238-HFHSN,0.5589,Medium,Logistic Regression
6250-CGGUN,0.1721,Low,Logistic Regression
5478-JJVZK,0.3169,Low,Logistic Regression
7596-IIWYC,0.0601,Low,Logistic Regression
6567-HOOPW,0.9017,High,Logistic Regression
9793-WECQC,0.7053,High,Logistic Regression
4291-HPAXL,0.339,Low,Logistic Regression
8999-YPYBV,0.0631,Low,Logistic Regression
1839-FBNFR,0.031,Low,Logistic Regression
3164-AALRN,0.5696,Medium,Logistic Regression
3071-MVJCD,0.0173,Low,Logistic Regression
1697-BCSHV,0.2351,Low,Logistic Regression
0562-KBDVM,0.0208,Low,Logistic Regression
1131-SUEKT,0.2647,Low,Logistic Regression
3717-OEAUQ,0.7516,High,Logistic Regression
4538-WNTMJ,0.0456,Low,Logistic Regression
3334-CTHOL,0.7061,High,Logistic Regression
4704-ERYFC,0.7672,High,Logistic Regression
9432-RUVSL,0.1838,Low,Logistic Regression
8060-HIWJJ,0.0573,Low,Logistic Regression
7684-XSZIY,0.0076,Low,Logistic Regression
9089-UOWJG,0.57,Medium,Logistic Regression
8621-MNIHH,0.8025,High,Logistic Regression
8039-ACLPL,0.018,Low,Logistic Regression
9885-AIBVB,0.7415,High,Logistic Regression
1934-MKPXS,0.0568,Low,Logistic Regression
2592-YKDIF,0.3807,Low,Logistic Regression
2272-JKMSI,0.3897,Low,Logistic Regression
0471-LVHGK,0.4573,Medium,Logistic Regression
9518-RWHZL,0.4237,Medium,Logistic Regression
8714-CTZJW,0.8314,High,Logistic Regression
3569-EDBPQ,0.6483,Medium,Logistic Regression
3131-NWVFJ,0.1243,Low,Logistic Regression
7521-YXVZY,0.3195,Low,Logistic Regression
5419-CONWX,0.8533,High,Logistic Regression
6240-EURKS,0.7085,High,Logistic Regression
2373-NTKOD,0.7804,High,Logistic Regression
1970-KKFWL,0.043,Low,Logistic Regression
6960-HVYXR,0.8433,High,Logistic Regression
9337-SRRNI,0.0134,Low,Logistic Regression
0895-UADGO,0.2281,Low,Logistic Regression
5678-VFNEQ,0.3175,Low,Logistic Regression
5977-CKHON,0.6039,Medium,Logistic Regression
7024-OHCCK,0.9357,High,Logistic Regression
2692-BUCFV,0.7502,High,Logistic Regression
7861-UVUFT,0.8366,High,Logistic Regression
1830-GGFNM,0.0469,Low,Logistic Regression
5302-BDJNT,0.6595,Medium,Logistic Regression
5223-UZAVK,0.272,Low,Logistic Regression
4859-ZSRDZ,0.0784,Low,Logistic Regression
5651-WYIPH,0.503,Medium,Logistic Regression
9350-VLHMB,0.4539,Medium,Logistic Regression
3498-LZGQZ,0.0123,Low,Logistic Regression
8785-CJSHH,0.704,High,Logistic Regression
5357-TZHPP,0.8659,High,Logistic Regression
3870-SPZSI,0.1138,Low,Logistic Regression
0680-DFNNY,0.8931,High,Logistic Regression
7560-QRBXH,0.0312,Low,Logistic Regression
7077-XJMET,0.6911,Medium,Logistic Regression
8752-GHJFU,0.2206,Low,Logistic Regression
6896-SRVYQ,0.573,Medium,Logistic Regression
7767-UXAGJ,0.7845,High,Logistic Regression
4652-ODEVH,0.0247,Low,Logistic Regression
6510-UPNKS,0.128,Low,Logistic Regression
6718-BDGHG,0.209,Low,Logistic Regression
9046-DQMTP,0.1241,Low,Logistic Regression
6439-LAJXL,0.4475,Medium,Logistic Regression
1571-SAVHK,0.825,High,Logistic Regression
9052-VKDUW,0.5463,Medium,Logistic Regression
9546-CQJSU,0.8957,High,Logistic Regression
1666-JZPZT,0.4271,Medium,Logistic Regression
5777-KJIRB,0.1823,Low,Logistic Regression
0506-LVNGN,0.7978,High,Logistic Regression
7677-SJJJK,0.15,Low,Logistic Regression
2480-EJWYP,0.4848,Medium,Logistic Regression
3253-HKOKL,0.3151,Low,Logistic Regression
7055-HNEOJ,0.5588,Medium,Logistic Regression
5514-YQENT,0.2086,Low,Logistic Regression
3211-AAPKX,0.8045,High,Logistic Regression
8445-DNBAE,0.7456,High,Logistic Regression
2951-QOQTK,0.6563,Medium,Logistic Regression
2958-NHPPS,0.2585,Low,Logistic Regression
6806-YDEUL,0.361,Low,Logistic Regression
1735-XMJVH,0.3552,Low,Logistic Regression
6890-PFRQX,0.4581,Medium,Logistic Regression
0222-CNVPT,0.3942,Low,Logistic Regression
5899-OUVKV,0.7984,High,Logistic Regression
8681-ICONS,0.1802,Low,Logistic Regression
1621-YNCJH,0.1968,Low,Logistic Regression
3473-XIIIT,0.878,High,Logistic Regression
6362-QHAFM,0.5866,Medium,Logistic Regression
7893-IXHRQ,0.4719,Medium,Logistic Regression
3070-BDOQC,0.2922,Low,Logistic Regression
2952-QAYZF,0.8517,High,Logistic Regression
6234-PFPXL,0.5607,Medium,Logistic Regression
9824-QCJPK,0.0658,Low,Logistic Regression
4763-PGDPO,0.7977,High,Logistic Regression
4283-IVYCI,0.3972,Low,Logistic Regression
1866-OBPNR,0.6791,Medium,Logistic Regression
8205-MQUGY,0.5145,Medium,Logistic Regression
8970-ANWXO,0.4193,Medium,Logistic Regression
9480-BQJEI,0.2782,Low,Logistic Regression
5394-SVGJV,0.6296,Medium,Logistic Regression
6979-TNDEU,0.3219,Low,Logistic Regression
9777-WJJPR,0.6746,Medium,Logistic Regression
9283-LZQOH,0.751,High,Logistic Regression
7079-QRCBC,0.8726,High,Logistic Regression
9495-SKLKD,0.5842,Medium,Logistic Regression
6048-UWKAL,0.1484,Low,Logistic Regression
5067-DGXLL,0.379,Low,Logistic Regression
5469-CTCWN,0.3876,Low,Logistic Regression
9851-QXEEQ,0.7984,High,Logistic Regression
6281-FKEWS,0.4342,Medium,Logistic Regression
8898-KASCD,0.1476,Low,Logistic Regression
9242-TKFSV,0.0347,Low,Logistic Regression
9290-SHCMB,0.8811,High,Logistic Regression
0743-HNPFG,0.0696,Low,Logistic Regression
2277-BKJKN,0.2801,Low,Logistic Regression
9809-IMGCQ,0.8893,High,Logistic Regression
5208-HFSBT,0.5201,Medium,Logistic Regression
5035-PGZXH,0.5429,Medium,Logistic Regression
8695-WDYEA,0.4803,Medium,Logistic Regression
6543-JXSOO,0.1314,Low,Logistic Regression
8016-ZMGMO,0.1474,Low,Logistic Regression
8605-ITULD,0.3872,Low,Logistic Regression
3254-YRILK,0.8666,High,Logistic Regression
6416-YJTTB,0.6632,Medium,Logistic Regression
2667-WYLWJ,0.2018,Low,Logistic Regression
4472-VESGY,0.3611,Low,Logistic Regression
3195-TQDZX,0.537,Medium,Logistic Regression
3128-YOVTD,0.298,Low,Logistic Regression
0529-ONKER,0.8105,High,Logistic Regression
1728-CXQBE,0.6544,Medium,Logistic Regression
7041-TXQJH,0.4923,Medium,Logistic Regression
5014-GSOUQ,0.0832,Low,Logistic Regression
5724-BIDBU,0.1767,Low,Logistic Regression
0481-SUMCB,0.5845,Medium,Logistic Regression
1769-GRUIK,0.7745,High,Logistic Regression
5240-IJOQT,0.9045,High,Logistic Regression
8819-WFGGJ,0.0721,Low,Logistic Regression
7427-AUFPY,0.0149,Low,Logistic Regression
2811-POVEX,0.7001,High,Logistic Regression
1092-GANHU,0.7788,High,Logistic Regression
7898-PDWQE,0.0243,Low,Logistic Regression
9972-EWRJS,0.0098,Low,Logistic Regression
9314-IJWSQ,0.8448,High,Logistic Regression
0661-XEYAN,0.7916,High,Logistic Regression
5799-JRCZO,0.0079,Low,Logistic Regression
1921-KYSAY,0.3012,Low,Logistic Regression
6198-RTPMF,0.8638,High,Logistic Regression
2924-KHUVI,0.492,Medium,Logistic Regression
1925-GMVBW,0.328,Low,Logistic Regression
7881-EVUAD,0.7785,High,Logistic Regression
6184-DYUOB,0.4517,Medium,Logistic Regression
9207-ZPANB,0.1367,Low,Logistic Regression
5766-XQXMQ,0.3504,Low,Logistic Regression
9327-QSDED,0.5429,Medium,Logistic Regression
1656-DRSMG,0.5284,Medium,Logistic Regression
3012-VFFMN,0.2768,Low,Logistic Regression
2984-AFWNC,0.8478,High,Logistic Regression
0640-YJTPY,0.0055,Low,Logistic Regression
8096-LOIST,0.6509,Medium,Logistic Regression
9764-REAFF,0.0123,Low,Logistic Regression
3703-VAVCL,0.6713,Medium,Logistic Regression
7107-UBYKY,0.2315,Low,Logistic Regression
4881-GQJTW,0.2632,Low,Logistic Regression
8519-QJGJD,0.734,High,Logistic Regression
7876-DNYAP,0.0063,Low,Logistic Regression
7905-NJMXS,0.5083,Medium,Logistic Regression
2882-WDTBA,0.0211,Low,Logistic Regression
2091-GPPIQ,0.0742,Low,Logistic Regression
6326-MTTXK,0.8638,High,Logistic Regression
5071-FBJFS,0.4879,Medium,Logistic Regression
2796-UUZZO,0.2965,Low,Logistic Regression
2429-AYKKO,0.007,Low,Logistic Regression
9798-OPFEM,0.0399,Low,Logistic Regression
0330-IVZHA,0.7972,High,Logistic Regression
3794-NFNCH,0.4109,Medium,Logistic Regression
5193-QLVZB,0.2619,Low,Logistic Regression
7114-AEOZE,0.0111,Low,Logistic Regression
2886-KEFUM,0.5103,Medium,Logistic Regression
5522-NYKPB,0.6126,Medium,Logistic Regression
4237-RLAQD,0.6669,Medium,Logistic Regression
9957-YODKZ,0.8835,High,Logistic Regression
6518-KZXCB,0.074,Low,Logistic Regression
2245-ADZFJ,0.1102,Low,Logistic Regression
7776-QGYJC,0.4044,Medium,Logistic Regression
9313-QOLTZ,0.1773,Low,Logistic Regression
9651-GTSAQ,0.3236,Low,Logistic Regression
3186-BAXNB,0.7546,High,Logistic Regression
4672-FOTSD,0.4839,Medium,Logistic Regression
0637-YLETY,0.7812,High,Logistic Regression
9818-XQCUV,0.371,Low,Logistic Regression
7338-ERIVA,0.1114,Low,Logistic Regression
1157-BQCUW,0.8896,High,Logistic Regression
8259-NFJTV,0.4149,Medium,Logistic Regression
3223-DWFIO,0.8305,High,Logistic Regression
2660-EMUBI,0.9198,High,Logistic Regression
6968-GMKPR,0.4918,Medium,Logistic Regression
4751-ERMAN,0.0511,Low,Logistic Regression
1436-ZMJAN,0.7005,High,Logistic Regression
3292-PBZEJ,0.8637,High,Logistic Regression
0799-DDIHE,0.4796,Medium,Logistic Regression
3070-FNFZQ,0.0419,Low,Logistic Regression
2812-SFXMJ,0.3375,Low,Logistic Regression
7675-OZCZG,0.6859,Medium,Logistic Regression
5014-WUQMG,0.318,Low,Logistic Regression
5312-TSZVC,0.1166,Low,Logistic Regression
2003-CKLOR,0.5363,Medium,Logistic Regression
0993-OSGPT,0.0567,Low,Logistic Regression
9254-RBFON,0.4592,Medium,Logistic Regression
1205-WNWPJ,0.5904,Medium,Logistic Regression
9391-EOYLI,0.8721,High,Logistic Regression
7108-DGVUU,0.3369,Low,Logistic Regression
2782-JEEBU,0.478,Medium,Logistic Regression
5127-BZENZ,0.079,Low,Logistic Regression
2720-FVBQP,0.6248,Medium,Logistic Regression
9906-NHHVC,0.1103,Low,Logistic Regression
4522-XRWWI,0.1554,Low,Logistic Regression
3766-EJLFL,0.1296,Low,Logistic Regression
5939-SXWHM,0.0199,Low,Logistic Regression
8152-UOBNY,0.5443,Medium,Logistic Regression
7351-KYHQH,0.7335,High,Logistic Regression
7643-RCHXS,0.0122,Low,Logistic Regression
8246-SHFGA,0.231,Low,Logistic Regression
8387-MOJJT,0.5682,Medium,Logistic Regression
0620-XEFWH,0.3225,Low,Logistic Regression
6485-QXWWE,0.0109,Low,Logistic Regression
2761-OCIAX,0.8608,High,Logistic Regression
7321-VGNKU,0.8564,High,Logistic Regression
5327-CNLUQ,0.21,Low,Logistic Regression
7552-KEYGT,0.0468,Low,Logistic Regression
5816-JMLGY,0.0404,Low,Logistic Regression
3068-OMWZA,0.9205,High,Logistic Regression
2927-QRRQV,0.5451,Medium,Logistic Regression
6032-KRXXO,0.8196,High,Logistic Regression
7459-RRWQZ,0.5623,Medium,Logistic Regression
6265-SXWBU,0.1925,Low,Logistic Regression
7941-RCJOW,0.0131,Low,Logistic Regression
6374-NTQLP,0.1037,Low,Logistic Regression
4154-AQUGT,0.74,High,Logistic Regression
2387-KDZQY,0.1775,Low,Logistic Regression
3584-WKTTW,0.4511,Medium,Logistic Regression
3399-BMLVW,0.0185,Low,Logistic Regression
1971-DTCZB,0.0439,Low,Logistic Regression
3092-IGHWF,0.208,Low,Logistic Regression
3374-PZLXD,0.1378,Low,Logistic Regression
3813-DHBBB,0.035,Low,Logistic Regression
2812-REYAT,0.0495,Low,Logistic Regression
6518-PPLMZ,0.019,Low,Logistic Regression
4939-KYYPY,0.4256,Medium,Logistic Regression
8017-LXHFA,0.8478,High,Logistic Regression
5930-GBIWP,0.0337,Low,Logistic Regression
6022-KOUQO,0.56,Medium,Logistic Regression
6352-TWCAU,0.7783,High,Logistic Regression
2361-UPSND,0.0752,Low,Logistic Regression
6035-RIIOM,0.3082,Low,Logistic Regression
2929-QNSRW,0.5682,Medium,Logistic Regression
1262-OPMFY,0.752,High,Logistic Regression
9504-DSHWM,0.3038,Low,Logistic Regression
5035-BVCXS,0.7325,High,Logistic Regression
6267-DCFFZ,0.8114,High,Logistic Regression
3533-UVMOM,0.0252,Low,Logistic Regression
2439-LYPMQ,0.8439,High,Logistic Regression
4248-QPAVC,0.7073,High,Logistic Regression
1899-VXWXM,0.5061,Medium,Logistic Regression
1478-VPOAD,0.6781,Medium,Logistic Regression
9995-HOTOH,0.065,Low,Logistic Regression
2988-PLAHS,0.6603,Medium,Logistic Regression
1371-OJCEK,0.0493,Low,Logistic Regression
4999-IEZLT,0.0553,Low,Logistic Regression
8883-ANODQ,0.1061,Low,Logistic Regression
4690-LLKUA,0.6524,Medium,Logistic Regression
2351-RRBUE,0.1549,Low,Logistic Regression
5980-BDHPY,0.0489,Low,Logistic Regression
1498-DQNRX,0.1622,Low,Logistic Regression
9469-WEJBT,0.6721,Medium,Logistic Regression
3331-HQDTW,0.6755,Medium,Logistic Regression
9490-DFPMD,0.7777,High,Logistic Regression
2581-VKIRT,0.038,Low,Logistic Regression
5442-XSDCW,0.7634,High,Logistic Regression
7426-WEIJX,0.4558,Medium,Logistic Regression
2851-MMUTZ,0.3125,Low,Logistic Regression
3049-NDXFL,0.8302,High,Logistic Regression
8580-AECUZ,0.9048,High,Logistic Regression
3307-TLCUD,0.4606,Medium,Logistic Regression
6625-FLENO,0.0132,Low,Logistic Regression
2967-MXRAV,0.2066,Low,Logistic Regression
7963-GQRMY,0.523,Medium,Logistic Regression
8189-HBVRW,0.4126,Medium,Logistic Regression
4163-KIUHY,0.2799,Low,Logistic Regression
1228-FZFRV,0.478,Medium,Logistic Regression
3500-NSDOA,0.0292,Low,Logistic Regression
1171-TYKUR,0.146,Low,Logistic Regression
3761-FLYZI,0.6062,Medium,Logistic Regression
2058-DCJBE,0.8487,High,Logistic Regression
5364-XYIRR,0.7756,High,Logistic Regression
4829-AUOAX,0.6349,Medium,Logistic Regression
1219-NNDDO,0.8507,High,Logistic Regression
8388-DMKAE,0.0977,Low,Logistic Regression
4403-BWPAY,0.2328,Low,Logistic Regression
9659-QEQSY,0.624,Medium,Logistic Regression
5405-ZMYXQ,0.8081,High,Logistic Regression
5047-LHVLY,0.6439,Medium,Logistic Regression
1442-OKRJE,0.2359,Low,Logistic Regression
4737-AQCPU,0.0119,Low,Logistic Regression
9158-VCTQB,0.5667,Medium,Logistic Regression
2808-CHTDM,0.0571,Low,Logistic Regression
6311-UEUME,0.7778,High,Logistic Regression
0793-TWELN,0.8225,High,Logistic Regression
3283-WCWXT,0.1105,Low,Logistic Regression
1060-ENTOF,0.2163,Low,Logistic Regression
0999-QXNSA,0.5995,Medium,Logistic Regression
5451-MHQOF,0.0445,Low,Logistic Regression
4836-WNFNO,0.0095,Low,Logistic Regression
9225-BZLNZ,0.0872,Low,Logistic Regression
0354-VXMJC,0.0439,Low,Logistic Regression
4422-QVIJA,0.2906,Low,Logistic Regression
9365-SRSZE,0.7654,High,Logistic Regression
6839-ITVZJ,0.4263,Medium,Logistic Regression
8332-OSJDW,0.161,Low,Logistic Regression
4735-BJKOU,0.0271,Low,Logistic Regression
0274-JKUJR,0.5906,Medium,Logistic Regression
5740-YHGTW,0.3061,Low,Logistic Regression
8917-SZTTJ,0.0094,Low,Logistic Regression
1696-MZVAU,0.2069,Low,Logistic Regression
7359-WWYJV,0.1034,Low,Logistic Regression
0375-HVGXO,0.8565,High,Logistic Regression
4906-ZHGPK,0.1606,Low,Logistic Regression
8593-WHYHV,0.9059,High,Logistic Regression
3795-GWTRD,0.0169,Low,Logistic Regression
1298-PHBTI,0.1117,Low,Logistic Regression
6223-DHJGV,0.0686,Low,Logistic Regression
6961-MJKBO,0.0197,Low,Logistic Regression
6097-EQISJ,0.3514,Low,Logistic Regression
4423-YLHDV,0.7668,High,Logistic Regression
8158-WPEZG,0.6602,Medium,Logistic Regression
0107-YHINA,0.9071,High,Logistic Regression
4918-FYJNT,0.4577,Medium,Logistic Regression
0727-BNRLG,0.1416,Low,Logistic Regression
4854-CIDCF,0.826,High,Logistic Regression
8640-SDGKB,0.7426,High,Logistic Regression
3280-MRDOF,0.1872,Low,Logistic Regression
6435-SRWBJ,0.8332,High,Logistic Regression
9964-WBQDJ,0.0138,Low,Logistic Regression
6303-KFWSL,0.3535,Low,Logistic Regression
1702-CCFNJ,0.1545,Low,Logistic Regression
8932-CZHRQ,0.0661,Low,Logistic Regression
0386-CWRGM,0.0178,Low,Logistic Regression
5515-RUGKN,0.6633,Medium,Logistic Regression
0404-AHASP,0.0072,Low,Logistic Regression
7279-NMVJC,0.126,Low,Logistic Regression
2081-VEYEH,0.8316,High,Logistic Regression
6407-UTSLV,0.8371,High,Logistic Regression
4116-TZAQJ,0.6818,Medium,Logistic Regression
9060-HJJRW,0.2503,Low,Logistic Regression
2587-YNLES,0.0868,Low,Logistic Regression
7398-SKNQZ,0.8953,High,Logistic Regression
5935-FCCNB,0.9063,High,Logistic Regression
1958-RNRKS,0.4833,Medium,Logistic Regression
5136-RGMZO,0.5035,Medium,Logistic Regression
8345-MVDYC,0.0537,Low,Logistic Regression
8226-BXGES,0.1494,Low,Logistic Regression
3877-JRJIP,0.8222,High,Logistic Regression
8375-DKEBR,0.879,High,Logistic Regression
9705-IOVQQ,0.4335,Medium,Logistic Regression
1015-OWJKI,0.3989,Low,Logistic Regression
7511-YMXVQ,0.8514,High,Logistic Regression
2040-XBAVJ,0.0797,Low,Logistic Regression
7551-JOHTI,0.3876,Low,Logistic Regression
8887-IPQNC,0.625,Medium,Logistic Regression
8646-JCOMS,0.1968,Low,Logistic Regression
9804-ICWBG,0.8644,High,Logistic Regression
1222-KJNZD,0.1138,Low,Logistic Regression
0106-GHRQR,0.607,Medium,Logistic Regression
5318-IXUZF,0.7979,High,Logistic Regression
3768-VHXQO,0.0117,Low,Logistic Regression
8952-WCVCD,0.3869,Low,Logistic Regression
2418-TPEUN,0.0151,Low,Logistic Regression
3963-RYFNS,0.1174,Low,Logistic Regression
3198-VELRD,0.8372,High,Logistic Regression
8540-ZQGEA,0.0147,Low,Logistic Regression
1320-REHCS,0.7184,High,Logistic Regression
4137-JOPHL,0.1714,Low,Logistic Regression
9436-ZBZCT,0.8281,High,Logistic Regression
7801-CEDNV,0.1567,Low,Logistic Regression
2057-BOYKM,0.0716,Low,Logistic Regression
3658-QQJYD,0.116,Low,Logistic Regression
1803-BGNBD,0.5393,Medium,Logistic Regression
0134-XWXCE,0.1762,Low,Logistic Regression
6950-TWMYB,0.0913,Low,Logistic Regression
5848-FHRFC,0.0081,Low,Logistic Regression
2243-FNMMI,0.2271,Low,Logistic Regression
2511-MORQY,0.103,Low,Logistic Regression
5356-KZCKT,0.0242,Low,Logistic Regression
9470-XCCEM,0.6459,Medium,Logistic Regression
6519-CFDBX,0.7284,High,Logistic Regression
3902-MIVLE,0.0275,Low,Logistic Regression
0409-WTMPL,0.363,Low,Logistic Regression
8763-KIAFH,0.1,Low,Logistic Regression
3669-WHAFY,0.1305,Low,Logistic Regression
3055-VTCGS,0.0872,Low,Logistic Regression
3144-KMTWZ,0.4792,Medium,Logistic Regression
7279-BUYWN,0.7358,High,Logistic Regression
7156-MHUGY,0.8932,High,Logistic Regression
7198-GLXTC,0.8499,High,Logistic Regression
2007-QVGAW,0.0091,Low,Logistic Regression
5207-PLSTK,0.532,Medium,Logistic Regression
2307-FYNNL,0.2591,Low,Logistic Regression
5605-XNWEN,0.0157,Low,Logistic Regression
2155-AMQRX,0.3933,Low,Logistic Regression
6181-AXXYF,0.0079,Low,Logistic Regression
5091-HFAZW,0.7988,High,Logistic Regression
0516-VRYBW,0.099,Low,Logistic Regression
2519-LBNQL,0.5895,Medium,Logistic Regression
8623-ULFNQ,0.6105,Medium,Logistic Regression
8380-PEFPE,0.8267,High,Logistic Regression
5687-DKDTV,0.3511,Low,Logistic Regression
1568-LJSZU,0.041,Low,Logistic Regression
7530-HDYDS,0.4545,Medium,Logistic Regression
7789-HKSBS,0.5278,Medium,Logistic Regression
7416-CKTEP,0.0183,Low,Logistic Regression
2586-CWXVV,0.2607,Low,Logistic Regression
3096-IZETN,0.7429,High,Logistic Regression
2348-KCJLT,0.1039,Low,Logistic Regression
8401-EMUWF,0.2816,Low,Logistic Regression
4193-IBKSW,0.0077,Low,Logistic Regression
5377-NDTOU,0.0269,Low,Logistic Regression
5922-ABDVO,0.7517,High,Logistic Regression
2474-LCNUE,0.5864,Medium,Logistic Regression
0839-QNXME,0.0396,Low,Logistic Regression
3506-OVLKD,0.0816,Low,Logistic Regression
9172-ANCRX,0.87,High,Logistic Regression
6650-VJONK,0.6706,Medium,Logistic Regression
2178-PMGCJ,0.6965,Medium,Logistic Regression
7492-TAFJD,0.1725,Low,Logistic Regression
2773-MADBQ,0.1032,Low,Logistic Regression
6016-LVTJQ,0.1088,Low,Logistic Regression
7860-KSUGX,0.0174,Low,Logistic Regression
8966-KZXXA,0.0334,Low,Logistic Regression
6910-HADCM,0.8001,High,Logistic Regression
4816-LXZYW,0.7736,High,Logistic Regression
9606-PBKBQ,0.8311,High,Logistic Regression
5149-QYTTU,0.1045,Low,Logistic Regression
2070-XYMFH,0.764,High,Logistic Regression
2085-BOJKI,0.6599,Medium,Logistic Regression
0817-HSUSE,0.7529,High,Logistic Regression
5442-PPTJY,0.0722,Low,Logistic Regression
1927-QEWMY,0.0069,Low,Logistic Regression
1663-MHLHE,0.3977,Low,Logistic Regression
5663-QBGIS,0.1915,Low,Logistic Regression
4450-MDZFX,0.3382,Low,Logistic Regression
6701-DHKWQ,0.0336,Low,Logistic Regression
7554-AKDQF,0.5439,Medium,Logistic Regression
3536-IQCTX,0.7776,High,Logistic Regression
4911-BANWH,0.6764,Medium,Logistic Regression
8496-EJAUI,0.6833,Medium,Logistic Regression
0794-YVSGE,0.0056,Low,Logistic Regression
5423-BHIXO,0.5121,Medium,Logistic Regression
6908-VVYHM,0.6007,Medium,Logistic Regression
2959-EEXWB,0.3501,Low,Logistic Regression
1839-UMACK,0.0904,Low,Logistic Regression
3030-YDNRM,0.8662,High,Logistic Regression
7321-KKSDU,0.0311,Low,Logistic Regression
3402-XRIUO,0.3778,Low,Logistic Regression
3132-TVFDZ,0.5373,Medium,Logistic Regression
8286-AFUYI,0.5943,Medium,Logistic Regression
8080-DDEMJ,0.7081,High,Logistic Regression
8356-WUAOJ,0.7421,High,Logistic Regression
6365-MTGZX,0.782,High,Logistic Regression
1349-WXNGG,0.3786,Low,Logistic Regression
8058-DMYRU,0.7041,High,Logistic Regression
9350-ZXYJC,0.1775,Low,Logistic Regression
6990-YNRIO,0.1021,Low,Logistic Regression
8958-JPTRR,0.0528,Low,Logistic Regression
6959-GQEGV,0.4139,Medium,Logistic Regression
3173-WSSUE,0.0058,Low,Logistic Regression
1265-HVPZB,0.0719,Low,Logistic Regression
4115-UMJFQ,0.0807,Low,Logistic Regression
7369-TRPFD,0.1281,Low,Logistic Regression
1098-KFQEC,0.0114,Low,Logistic Regression
7190-XHTWJ,0.0599,Low,Logistic Regression
0621-TWIEM,0.67,Medium,Logistic Regression
3537-RYBHH,0.2406,Low,Logistic Regression
2485-ITVKB,0.8553,High,Logistic Regression
3669-OYSJI,0.573,Medium,Logistic Regression
1612-EOHDH,0.668,Medium,Logistic Regression
6702-OHFWR,0.8624,High,Logistic Regression
5296-BFCYD,0.0247,Low,Logistic Regression
4510-PYUSH,0.2436,Low,Logistic Regression
9359-JANWS,0.0163,Low,Logistic Regression
7517-SAWMO,0.7149,High,Logistic Regression
4143-HHPMK,0.6076,Medium,Logistic Regression
3279-DYZQM,0.0063,Low,Logistic Regression
7054-LGEQW,0.5801,Medium,Logistic Regression
0523-VNGTF,0.3765,Low,Logistic Regression
9575-IWCAZ,0.2449,Low,Logistic Regression
7105-MXJLL,0.2944,Low,Logistic Regression
7064-FRRSW,0.6523,Medium,Logistic Regression
7940-UQQUG,0.2438,Low,Logistic Regression
0923-PNFUB,0.8207,High,Logistic Regression
3961-SXAXY,0.669,Medium,Logistic Regression
7010-BRBUU,0.0078,Low,Logistic Regression
3566-HJGPK,0.6692,Medium,Logistic Regression
3062-ICYZQ,0.5357,Medium,Logistic Regression
9938-PRCVK,0.0203,Low,Logistic Regression
0973-KYVNF,0.0234,Low,Logistic Regression
5129-HHMZC,0.0664,Low,Logistic Regression
9637-CDTKZ,0.1331,Low,Logistic Regression
3946-JEWRQ,0.5555,Medium,Logistic Regression
7873-CVMAW,0.0341,Low,Logistic Regression
0463-WZZKO,0.4331,Medium,Logistic Regression
3494-JCHRQ,0.8638,High,Logistic Regression
6474-FVJLC,0.906,High,Logistic Regression
4524-QCSSM,0.4819,Medium,Logistic Regression
5832-EXGTT,0.3525,Low,Logistic Regression
8840-DQLGN,0.5607,Medium,Logistic Regression
2039-JONDJ,0.1289,Low,Logistic Regression
7217-JYHOQ,0.273,Low,Logistic Regression
6695-FRVEC,0.0165,Low,Logistic Regression
4547-LYTDD,0.7914,High,Logistic Regression
9894-QMIMJ,0.1941,Low,Logistic Regression
8069-YQQAJ,0.6263,Medium,Logistic Regression
6770-XUAGN,0.4905,Medium,Logistic Regression
4193-ORFCL,0.6237,Medium,Logistic Regression
1636-NTNCO,0.8181,High,Logistic Regression
3466-WAESX,0.5695,Medium,Logistic Regression
9281-PKKZE,0.596,Medium,Logistic Regression
3638-VBZTA,0.039,Low,Logistic Regression
7459-IMVYU,0.2317,Low,Logistic Regression
7776-QWNFX,0.4071,Medium,Logistic Regression
6689-TCZHQ,0.8572,High,Logistic Regression
8563-OYMQY,0.7357,High,Logistic Regression
0754-EEBDC,0.0975,Low,Logistic Regression
5777-ZPQNC,0.21,Low,Logistic Regression
1951-IEYXM,0.0365,Low,Logistic Regression
3318-NMQXL,0.8992,High,Logistic Regression
3143-ILDAL,0.5804,Medium,Logistic Regression
1022-RKXDR,0.0912,Low,Logistic Regression
2361-FJWNO,0.1227,Low,Logistic Regression
2272-UOINI,0.6071,Medium,Logistic Regression
8232-UTFOZ,0.008,Low,Logistic Regression
3750-YHRYO,0.1596,Low,Logistic Regression
6637-KYRCV,0.7324,High,Logistic Regression
5668-MEISB,0.0535,Low,Logistic Regression
0129-QMPDR,0.0498,Low,Logistic Regression
7188-CBBBA,0.4022,Medium,Logistic Regression
5356-CSVSQ,0.6783,Medium,Logistic Regression
3221-CJMSG,0.3682,Low,Logistic Regression
4720-VSTSI,0.5593,Medium,Logistic Regression
3219-JQRSL,0.0382,Low,Logistic Regression
2801-NISEI,0.3009,Low,Logistic Regression
3946-MHCZW,0.5766,Medium,Logistic Regression
4623-ZKHLY,0.2609,Low,Logistic Regression
6732-VAILE,0.0534,Low,Logistic Regression
8201-AAXCB,0.5323,Medium,Logistic Regression
7696-CFTAT,0.0247,Low,Logistic Regression
1845-CSBRZ,0.7067,High,Logistic Regression
2123-VSCOT,0.0532,Low,Logistic Regression
